ROUND	MAPX	MAPY	TRAP_NAME
1	1581	3156	star_trap_area_1
1	1578	3162	star_trap_area_2
1	1583	3167	star_trap_area_3
1	1575	3170	star_trap_area_4
1	1581	3174	star_trap_area_5
1	1577	3179	star_trap_area_6
1	1579	3185	star_trap_area_7
1	1593	3148	star_trap_area_8
1	1598	3151	star_trap_area_9
1	1594	3156	star_trap_area_10
1	1588	3154	star_trap_area_11
1	1586	3160	star_trap_area_12
1	1592	3162	star_trap_area_13
1	1597	3164	star_trap_area_14
1	1588	3167	star_trap_area_15
1	1584	3182	star_trap_area_16
1	1587	3190	star_trap_area_17
1	1593	3187	star_trap_area_18
1	1599	3185	star_trap_area_19
1	1594	3169	star_trap_area_20
1	1587	3175	star_trap_area_21
1	1590	3180	star_trap_area_22
1	1595	3177	star_trap_area_23
1	1605	3151	star_trap_area_24
1	1610	3154	star_trap_area_25
1	1611	3163	star_trap_area_26
1	1606	3160	star_trap_area_27
1	1601	3158	star_trap_area_28
1	1615	3169	star_trap_area_29
1	1613	3181	star_trap_area_30
1	1610	3174	star_trap_area_31
1	1605	3168	star_trap_area_32
1	1601	3170	star_trap_area_33
1	1606	3185	star_trap_area_34
1	1603	3178	star_trap_area_35
1	1618	3175	star_trap_area_36
