ROUND	MAPX	MAPY
1	1578	3179
1	1575	3174
1	1592	3161
1	1590	3157
1	1587	3190
1	1592	3190
1	1605	3153
1	1608	3156
1	1611	3181
1	1607	3184
1	1580	3175
1	1590	3166
1	1590	3186
1	1605	3157
1	1608	3179
2	1576	3166
2	1580	3167
2	1594	3150
2	1598	3153
2	1587	3182
2	1584	3185
2	1611	3161
2	1613	3171
2	1603	3183
2	1600	3183
2	1579	3163
2	1578	3185
2	1593	3155
2	1598	3179
2	1609	3167
3	1582	3157
3	1586	3162
3	1584	3175
3	1584	3180
3	1597	3188
3	1600	3166
3	1615	3167
3	1603	3169
3	1601	3187
3	1616	3178
3	1586	3156
3	1587	3176
3	1599	3171
3	1604	3187
3	1616	3173
