ROUND	MAPX	MAPY	TRAP_NAME
1	1575	3194	star_trap_area_1
1	1581	3190	star_trap_area_2
1	1579	3200	star_trap_area_3
1	1587	3185	star_trap_area_4
1	1592	3180	star_trap_area_5
1	1597	3173	star_trap_area_6
1	1584	3196	star_trap_area_7
1	1589	3192	star_trap_area_8
1	1593	3187	star_trap_area_9
1	1598	3184	star_trap_area_10
1	1594	3195	star_trap_area_11
1	1584	3204	star_trap_area_12
1	1589	3200	star_trap_area_13
1	1595	3204	star_trap_area_14
1	1589	3209	star_trap_area_15
1	1599	3218	star_trap_area_16
1	1597	3211	star_trap_area_17
1	1601	3177	star_trap_area_18
1	1605	3183	star_trap_area_19
1	1611	3185	star_trap_area_20
1	1615	3191	star_trap_area_21
1	1610	3195	star_trap_area_22
1	1607	3190	star_trap_area_23
1	1601	3190	star_trap_area_24
1	1601	3198	star_trap_area_25
1	1606	3204	star_trap_area_26
1	1602	3209	star_trap_area_27
1	1606	3216	star_trap_area_28
