ROUND	MAPX	MAPY	TRAP_NAME
1	1596	3324	star_trap_area_1
1	1589	3334	star_trap_area_2
1	1596	3345	star_trap_area_3
1	1587	3343	star_trap_area_4
1	1585	3350	star_trap_area_5
1	1590	3357	star_trap_area_6
1	1593	3351	star_trap_area_7
1	1595	3333	star_trap_area_8
1	1584	3362	star_trap_area_9
1	1594	3366	star_trap_area_10
1	1598	3360	star_trap_area_11
1	1602	3325	star_trap_area_12
1	1604	3345	star_trap_area_13
1	1602	3353	star_trap_area_14
1	1602	3335	star_trap_area_15
1	1613	3356	star_trap_area_16
1	1608	3352	star_trap_area_17
1	1612	3344	star_trap_area_18
1	1608	3338	star_trap_area_19
1	1614	3363	star_trap_area_20
1	1607	3362	star_trap_area_21
1	1602	3368	star_trap_area_22
1	1610	3369	star_trap_area_23
1	1610	3377	star_trap_area_24
