TRAPX	TRAPY
1759	3666
1768	3664
1770	3676
1774	3668
1763	3659
1764	3671
1789	3635
1804	3637
1793	3628
1798	3633
1794	3640
1800	3645
1816	3710
1823	3727
1817	3722
1821	3715
1812	3717
1829	3595
1834	3600
1836	3612
1830	3607
1825	3602
1827	3719
1840	3604
1843	3613
1846	3673
1851	3678
1842	3680
1847	3685
1852	3691
1867	3548
1871	3556
1866	3645
1870	3638
1871	3650
1857	3682
1873	3541
1873	3549
1880	3542
1881	3550
1875	3643
1881	3647
1881	3638
1877	3655
1900	3610
1899	3598
1895	3605
1916	3510
1911	3505
1915	3498
1906	3615
1904	3603
1910	3607
1920	3503
1922	3515
1926	3507
1935	3582
1929	3577
1928	3565
1933	3570
1924	3572
1941	3459
1939	3469
1944	3472
1947	3463
1949	3475
1951	3543
1939	3574
1952	3464
1956	3548
1955	3536
1960	3541
1966	3545
1962	3553
1980	3519
1992	3507
1998	3510
1987	3515
1994	3519
1987	3526
