ROUND	MAPX	MAPY	TRAP_NAME
1	1573	3212	star_trap_area_1
1	1572	3221	star_trap_area_2
1	1570	3230	star_trap_area_3
1	1570	3202	star_trap_area_4
1	1577	3200	star_trap_area_5
1	1578	3209	star_trap_area_6
1	1583	3205	star_trap_area_7
1	1578	3221	star_trap_area_8
1	1583	3230	star_trap_area_9
1	1575	3235	star_trap_area_10
1	1580	3239	star_trap_area_11
1	1583	3249	star_trap_area_12
1	1590	3189	star_trap_area_13
1	1584	3194	star_trap_area_14
1	1595	3196	star_trap_area_15
1	1597	3226	star_trap_area_16
1	1594	3217	star_trap_area_17
1	1590	3226	star_trap_area_18
1	1595	3207	star_trap_area_19
1	1589	3200	star_trap_area_20
1	1589	3210	star_trap_area_21
1	1584	3215	star_trap_area_22
1	1590	3250	star_trap_area_23
1	1593	3234	star_trap_area_24
1	1586	3239	star_trap_area_25
1	1598	3253	star_trap_area_26
1	1599	3244	star_trap_area_27
1	1593	3242	star_trap_area_28
1	1601	3194	star_trap_area_29
1	1601	3213	star_trap_area_30
1	1601	3203	star_trap_area_31
1	1607	3214	star_trap_area_32
