ROUND	MAPX	MAPY	TRAP_NAME
1	1534	3224	star_trap_area_1
1	1543	3205	star_trap_area_2
1	1539	3209	star_trap_area_3
1	1540	3217	star_trap_area_4
1	1544	3224	star_trap_area_5
1	1545	3214	star_trap_area_6
1	1549	3205	star_trap_area_7
1	1550	3212	star_trap_area_8
1	1550	3229	star_trap_area_9
1	1548	3221	star_trap_area_10
1	1551	3244	star_trap_area_11
1	1550	3237	star_trap_area_12
1	1545	3232	star_trap_area_13
1	1554	3206	star_trap_area_14
1	1560	3206	star_trap_area_15
1	1567	3203	star_trap_area_16
1	1564	3212	star_trap_area_17
1	1565	3224	star_trap_area_18
1	1560	3229	star_trap_area_19
1	1554	3223	star_trap_area_20
1	1560	3221	star_trap_area_21
1	1558	3213	star_trap_area_22
1	1553	3218	star_trap_area_23
1	1556	3232	star_trap_area_24
1	1572	3199	star_trap_area_25
1	1568	3197	star_trap_area_26
1	1569	3218	star_trap_area_27
1	1572	3224	star_trap_area_28
