ROUND	MAPX	MAPY	TRAP_NAME
1	1630	3265	star_trap_area_1
1	1626	3272	star_trap_area_2
1	1620	3275	star_trap_area_3
1	1626	3281	star_trap_area_4
1	1631	3275	star_trap_area_5
1	1645	3248	star_trap_area_6
1	1641	3253	star_trap_area_7
1	1642	3263	star_trap_area_8
1	1636	3260	star_trap_area_9
1	1645	3270	star_trap_area_10
1	1637	3269	star_trap_area_11
1	1632	3286	star_trap_area_12
1	1636	3293	star_trap_area_13
1	1636	3279	star_trap_area_14
1	1641	3287	star_trap_area_15
1	1643	3279	star_trap_area_16
1	1652	3242	star_trap_area_17
1	1656	3246	star_trap_area_18
1	1655	3255	star_trap_area_19
1	1650	3250	star_trap_area_20
1	1648	3259	star_trap_area_21
1	1661	3253	star_trap_area_22
1	1653	3266	star_trap_area_23
1	1650	3278	star_trap_area_24
1	1660	3267	star_trap_area_25
1	1656	3276	star_trap_area_26
1	1670	3261	star_trap_area_27
1	1664	3261	star_trap_area_28
