ROUND	MAPX	MAPY	TRAP_NAME
1	1547	3218	star_trap_area_1
1	1551	3225	star_trap_area_2
1	1565	3203	star_trap_area_3
1	1553	3214	star_trap_area_4
1	1559	3209	star_trap_area_5
1	1565	3213	star_trap_area_6
1	1558	3222	star_trap_area_7
1	1565	3223	star_trap_area_8
1	1556	3233	star_trap_area_9
1	1566	3242	star_trap_area_10
1	1562	3232	star_trap_area_11
1	1569	3198	star_trap_area_12
1	1575	3198	star_trap_area_13
1	1580	3204	star_trap_area_14
1	1573	3207	star_trap_area_15
1	1571	3224	star_trap_area_16
1	1573	3216	star_trap_area_17
1	1580	3214	star_trap_area_18
1	1580	3222	star_trap_area_19
1	1576	3229	star_trap_area_20
1	1569	3234	star_trap_area_21
1	1575	3241	star_trap_area_22
1	1580	3237	star_trap_area_23
1	1575	3251	star_trap_area_24
1	1584	3230	star_trap_area_25
1	1586	3211	star_trap_area_26
1	1588	3222	star_trap_area_27
1	1594	3218	star_trap_area_28
1	1595	3227	star_trap_area_29
1	1586	3239	star_trap_area_30
1	1593	3235	star_trap_area_31
1	1601	3224	star_trap_area_32
