20250718-201311<DEBUG:00005330>: nSocket = 924, nSendFlag = 0, Error = 10054
20250718-201311<DEBUG:0000286C>: nSocket = 924, nSendFlag = 1, Error = 10054
20250718-201311<DEBUG:00004DFC>: nSocket = 980, nSendFlag = 0, Error = 10054
20250718-201311<DEBUG:0000286C>: nSocket = 980, nSendFlag = 1, Error = 10054
20250718-201311<DEBUG:000024A0>: nSocket = 952, nSendFlag = 0, Error = 10054
20250718-201311<DEBUG:0000286C>: nSocket = 952, nSendFlag = 1, Error = 10054
20250718-201312<DEBUG:00003CDC>: nSocket = 896, nSendFlag = 0, Error = 10054
20250718-201312<DEBUG:0000286C>: nSocket = 896, nSendFlag = 1, Error = 10054
20250718-201312<DEBUG:00001A28>: nSocket = 868, nSendFlag = 0, Error = 10054
20250718-201312<DEBUG:0000286C>: nSocket = 868, nSendFlag = 1, Error = 10054
20250718-201312<DEBUG:00004D10>: nSocket = 840, nSendFlag = 0, Error = 10054
20250718-201312<DEBUG:0000286C>: nSocket = 840, nSendFlag = 1, Error = 10054
20250718-201312<DEBUG:00003B6C>: nSocket = 812, nSendFlag = 0, Error = 10054
20250718-201312<DEBUG:0000286C>: nSocket = 812, nSendFlag = 1, Error = 10054
