20250718-034526<DEBUG:00004334>: nSocket = 920, nSendFlag = 0, Error = 10054
20250718-034526<DEBUG:00003820>: nSocket = 920, nSendFlag = 1, Error = 10054
20250718-034526<DEBUG:000010A4>: nSocket = 976, nSendFlag = 0, Error = 10054
20250718-034526<DEBUG:00003820>: nSocket = 976, nSendFlag = 1, Error = 10054
20250718-034526<DEBUG:00004634>: nSocket = 948, nSendFlag = 0, Error = 10054
20250718-034526<DEBUG:00003820>: nSocket = 948, nSendFlag = 1, Error = 10054
20250718-034527<DEBUG:0000532C>: nSocket = 892, nSendFlag = 0, Error = 10054
20250718-034527<DEBUG:00003820>: nSocket = 892, nSendFlag = 1, Error = 10054
20250718-034527<DEBUG:00004918>: nSocket = 836, nSendFlag = 0, Error = 10054
20250718-034527<DEBUG:00003820>: nSocket = 836, nSendFlag = 1, Error = 10054
20250718-034528<DEBUG:0000229C>: nSocket = 808, nSendFlag = 0, Error = 10054
20250718-034528<DEBUG:00003820>: nSocket = 808, nSendFlag = 1, Error = 10054
20250718-034528<DEBUG:000044BC>: nSocket = 864, nSendFlag = 0, Error = 10054
20250718-034528<DEBUG:00003820>: nSocket = 864, nSendFlag = 1, Error = 10054
