ROUND	MAPX	MAPY	TRAP_NAME
1	1565	3240	star_trap_area_1
1	1575	3230	star_trap_area_2
1	1582	3260	star_trap_area_3
1	1583	3250	star_trap_area_4
1	1575	3248	star_trap_area_5
1	1574	3241	star_trap_area_6
1	1587	3227	star_trap_area_7
1	1598	3223	star_trap_area_8
1	1597	3213	star_trap_area_9
1	1588	3218	star_trap_area_10
1	1599	3204	star_trap_area_11
1	1592	3251	star_trap_area_12
1	1595	3239	star_trap_area_13
1	1586	3240	star_trap_area_14
1	1590	3265	star_trap_area_15
1	1596	3276	star_trap_area_16
1	1612	3226	star_trap_area_17
1	1606	3223	star_trap_area_18
1	1606	3208	star_trap_area_19
1	1601	3237	star_trap_area_20
1	1606	3233	star_trap_area_21
1	1604	3252	star_trap_area_22
1	1615	3254	star_trap_area_23
1	1607	3244	star_trap_area_24
1	1603	3265	star_trap_area_25
1	1617	3237	star_trap_area_26
1	1625	3245	star_trap_area_27
1	1630	3234	star_trap_area_28
