ROUND	MAPX	MAPY	TRAP_NAME
1	1565	3153	star_trap_area_1
1	1574	3134	star_trap_area_2
1	1578	3133	star_trap_area_3
1	1583	3137	star_trap_area_4
1	1577	3127	star_trap_area_5
1	1583	3146	star_trap_area_6
1	1568	3144	star_trap_area_7
1	1568	3160	star_trap_area_8
1	1606	3149	star_trap_area_9
1	1590	3159	star_trap_area_10
1	1582	3155	star_trap_area_11
1	1577	3160	star_trap_area_12
1	1572	3164	star_trap_area_13
1	1582	3163	star_trap_area_14
1	1570	3172	star_trap_area_15
1	1577	3168	star_trap_area_16
1	1581	3174	star_trap_area_17
1	1576	3177	star_trap_area_18
1	1580	3181	star_trap_area_19
1	1581	3189	star_trap_area_20
1	1589	3143	star_trap_area_21
1	1588	3151	star_trap_area_22
1	1593	3148	star_trap_area_23
1	1587	3159	star_trap_area_24
1	1593	3156	star_trap_area_25
1	1598	3156	star_trap_area_26
1	1593	3162	star_trap_area_27
1	1587	3167	star_trap_area_28
1	1598	3164	star_trap_area_29
1	1586	3177	star_trap_area_30
1	1592	3170	star_trap_area_31
1	1596	3174	star_trap_area_32
1	1591	3180	star_trap_area_33
1	1585	3185	star_trap_area_34
1	1586	3192	star_trap_area_35
1	1590	3187	star_trap_area_36
1	1597	3182	star_trap_area_37
1	1603	3154	star_trap_area_38
1	1603	3163	star_trap_area_39
1	1607	3167	star_trap_area_40
1	1611	3164	star_trap_area_41
1	1600	3171	star_trap_area_42
1	1601	3177	star_trap_area_43
1	1606	3174	star_trap_area_44
