TRAPX	TRAPY
55456	111968
55008	111456
54624	112000
55008	112384
53184	114304
52800	113824
52384	114272
52768	114720
49856	112032
49376	111584
49888	111040
50240	111552
52928	109440
52480	108960
52960	108416
53344	108864
57376	101664
57824	102112
57408	102528
56928	102080
55104	100800
54688	100288
54208	100736
54656	101312
54848	102784
55360	103232
54944	103648
54304	103136
52928	103776
52448	103296
52032	103744
52416	104288
55168	105312
55584	105856
56032	105344
55680	104960
63104	107136
63584	107520
63136	108064
62592	107584
61920	109376
61408	108864
60960	109376
61504	109984
60160	111232
59680	110720
59168	111232
59648	111840
59360	109216
58784	108704
59072	108384
59552	108896
59968	108640
59456	108096
57280	108480
56832	108032
56448	108416
56896	108960
58656	107232
58144	106688
58688	106112
59136	106656
60064	105216
59776	104864
60096	104576
60480	104896
60416	98848
60832	99168
61312	98784
60800	98304
61664	96640
62048	96288
62528	96672
61984	97152
62720	99840
63328	99360
63808	99776
63360	100384
64288	97440
63840	97088
64352	96608
64768	97088
62112	101408
62560	101856
62144	102336
61664	101856
67456	98624
67968	99136
67456	99648
66944	99104
65696	100736
66112	101152
65696	101696
65344	101248
67840	102112
68256	102720
68704	102240
68224	101664
66976	105056
66528	104544
65984	105120
66464	105632
66464	112928
66848	113344
66464	113952
65856	113472
67264	116384
67552	116608
67232	117024
66816	116608
68672	119136
68864	119360
69536	119072
69312	118816
66432	117344
65888	116800
65504	117312
65984	117792
63552	116672
63072	117056
62592	116672
63040	116192
61856	114240
61632	113888
62112	113440
62624	113984
64192	111584
63872	111232
64320	110720
64832	111200
63936	103584
64416	103968
64864	103488
64416	103136
50944	98688
51232	99072
50784	99488
50496	99104
59712	116608
60256	116192
60768	116704
60224	117088
57760	120128
57408	120576
57792	121056
58144	120576
57408	117248
56992	116928
57504	116512
57984	117024
55712	116672
55328	117248
54784	116672
55264	116320
57664	114624
58048	114176
57664	113760
57312	114208
